Unnamed: 0_level_0_Player,Unnamed: 1_level_0_#,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Age,Unnamed: 5_level_0_Min,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
Ashley Hatch,33.0,us USA,FW,29-175,120,45,0,2,18,26,10,45,0,0,,0,,21,95,39,1,1,0,5,7,27,5
Rosemonde Kouassi,19.0,ci CIV,LW,22-326,88,38,0,8,14,20,10,38,9,6,66.7,3,33.3,29,351,198,8,6,7,2,3,25,5
Brittany Ratcliffe,13.0,us USA,LW,30-283,32,13,0,1,2,10,4,13,2,0,0.0,2,100.0,5,34,10,0,0,0,2,0,9,2
Trinity Rodman,2.0,us USA,RW,22-180,120,53,0,8,17,28,3,53,7,3,42.9,4,57.1,32,274,118,5,2,1,7,2,35,12
Leicy Santos,10.0,co COL,AM,28-184,78,43,1,10,16,18,4,43,1,0,0.0,1,100.0,26,154,86,4,1,0,3,3,33,5
Lena Silano,4.0,us USA,AM,24-293,42,19,0,2,9,8,1,19,1,1,100.0,0,0.0,9,44,11,0,1,0,0,0,16,4
Heather Stainbrook,22.0,,DM,,66,31,3,11,11,9,1,31,1,0,0.0,1,100.0,6,15,7,0,0,0,1,0,8,1
Makenna Morris,8.0,us USA,DM,22-204,54,25,0,3,10,12,2,25,1,1,100.0,0,0.0,7,53,49,2,0,1,0,0,12,1
Hal Hershfelt,17.0,us USA,DM,22-044,120,78,2,26,42,13,2,78,2,2,100.0,0,0.0,29,107,38,0,0,0,2,0,51,1
Casey Krueger,3.0,us USA,LB,34-085,120,73,0,31,26,17,5,73,0,0,,0,,27,103,67,2,0,0,1,1,32,1
Esme Morgan,24.0,eng ENG,CB,24-029,104,58,12,41,16,1,0,58,0,0,,0,,17,32,7,0,0,0,1,0,29,0
Anaïg Butel,5.0,fr FRA,CB,32-275,16,10,1,7,3,0,0,10,0,0,,0,,6,11,4,0,0,0,0,0,8,0
Tara McKeown,9.0,us USA,CB,25-137,120,66,7,30,34,4,1,66,0,0,,0,,36,213,134,3,2,0,1,0,41,2
Paige Metayer,26.0,us USA,RB,24-054,78,54,1,20,21,14,2,54,1,1,100.0,0,0.0,11,81,65,4,1,0,2,0,21,1
Gabrielle Carle,14.0,ca CAN,RB,26-035,42,49,1,12,18,20,3,49,0,0,,0,,13,77,46,1,0,0,1,0,16,4
Aubrey Kingsbury,1.0,us USA,GK,32-362,120,44,33,41,3,0,0,44,0,0,,0,,20,98,48,0,0,0,0,0,16,0
16 Players,,,,,1320,699,61,253,260,200,48,699,25,14,56.0,11,44.0,294,1742,927,30,14,9,28,16,379,44
